time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-25 00:00:00+00:00,307,122,1052,244
2026-05-26 00:00:00+00:00,285,120,614,195
2026-05-27 00:00:00+00:00,120,78,644,219
2026-05-28 00:00:00+00:00,165,89,450,178
2026-05-29 00:00:00+00:00,325,121,833,316
2026-05-30 00:00:00+00:00,645,181,1434,464
2026-05-31 00:00:00+00:00,1864,203,1470,552
2026-06-01 00:00:00+00:00,291,121,839,365
2026-06-02 00:00:00+00:00,617,179,661,269
2026-06-03 00:00:00+00:00,670,195,798,319
2026-06-04 00:00:00+00:00,394,180,686,270
2026-06-05 00:00:00+00:00,246,134,1121,305
2026-06-06 00:00:00+00:00,312,147,909,275
2026-06-07 00:00:00+00:00,325,138,918,231
